OTUID	assignment-nochim-AUGPCR_barcode65.tsv	assignment-nochim-JunPCR_barcode65.tsv	assignment-nochim-L0A1_barcode05.tsv	assignment-nochim-L0A2_barcode21.tsv	assignment-nochim-L0A3_barcode37.tsv	assignment-nochim-L0A4_barcode53.tsv	assignment-nochim-L0B1_barcode06.tsv	assignment-nochim-L0B2_barcode22.tsv	assignment-nochim-L0B3_barcode38.tsv	assignment-nochim-L0B4_barcode54.tsv	assignment-nochim-L0C1_barcode07.tsv	assignment-nochim-L0C2_barcode23.tsv	assignment-nochim-L0C3_barcode39.tsv	assignment-nochim-L0C4_barcode55.tsv	assignment-nochim-L0D1_barcode08.tsv	assignment-nochim-L0D2_barcode24.tsv	assignment-nochim-L0D3_barcode40.tsv	assignment-nochim-L0D4_barcode56.tsv	assignment-nochim-L1A1_barcode05.tsv	assignment-nochim-L1A2_barcode21.tsv	assignment-nochim-L1A3_barcode37.tsv	assignment-nochim-L1A4_barcode53.tsv	assignment-nochim-L1B1_barcode06.tsv	assignment-nochim-L1B2_barcode22.tsv	assignment-nochim-L1B3_barcode38.tsv	assignment-nochim-L1B4_barcode54.tsv	assignment-nochim-L1C1_barcode07.tsv	assignment-nochim-L1C2_barcode23.tsv	assignment-nochim-L1C3_barcode39.tsv	assignment-nochim-L1C4_barcode55.tsv	assignment-nochim-L1D1_barcode08.tsv	assignment-nochim-L1D2_barcode24.tsv	assignment-nochim-L1D3_barcode40.tsv	assignment-nochim-L1D4_barcode56.tsv	assignment-nochim-L2A1_barcode05.tsv	assignment-nochim-L2A2_barcode21.tsv	assignment-nochim-L2A3_barcode37.tsv	assignment-nochim-L2A4_barcode53.tsv	assignment-nochim-L2B1_barcode06.tsv	assignment-nochim-L2B2_barcode22.tsv	assignment-nochim-L2B3_barcode38.tsv	assignment-nochim-L2B4_barcode54.tsv	assignment-nochim-L2C1_barcode07.tsv	assignment-nochim-L2C2_barcode23.tsv	assignment-nochim-L2C3_barcode39.tsv	assignment-nochim-L2C4_barcode55.tsv	assignment-nochim-L2D1_barcode08.tsv	assignment-nochim-L2D2_barcode24.tsv	assignment-nochim-L2D3_barcode40.tsv	assignment-nochim-L2D4_barcode56.tsv	assignment-nochim-OctPCR_barcode65.tsv	assignment-nochim-R0A1_barcode01.tsv	assignment-nochim-R0A2_barcode17.tsv	assignment-nochim-R0A3_barcode33.tsv	assignment-nochim-R0A4_barcode49.tsv	assignment-nochim-R0B1_barcode02.tsv	assignment-nochim-R0B2_barcode18.tsv	assignment-nochim-R0B3_barcode34.tsv	assignment-nochim-R0B4_barcode50.tsv	assignment-nochim-R0C1_barcode03.tsv	assignment-nochim-R0C2_barcode19.tsv	assignment-nochim-R0C3_barcode35.tsv	assignment-nochim-R0C4_barcode51.tsv	assignment-nochim-R0D1_barcode04.tsv	assignment-nochim-R0D2_barcode20.tsv	assignment-nochim-R0D3_barcode36.tsv	assignment-nochim-R0D4_barcode52.tsv	assignment-nochim-R1A1_barcode01.tsv	assignment-nochim-R1A2_barcode17.tsv	assignment-nochim-R1A3_barcode33.tsv	assignment-nochim-R1A4_barcode49.tsv	assignment-nochim-R1B1_barcode02.tsv	assignment-nochim-R1B2_barcode18.tsv	assignment-nochim-R1B3_barcode34.tsv	assignment-nochim-R1B4_barcode50.tsv	assignment-nochim-R1C1_barcode03.tsv	assignment-nochim-R1C2_barcode19.tsv	assignment-nochim-R1C3_barcode35.tsv	assignment-nochim-R1C4_barcode51.tsv	assignment-nochim-R1D1_barcode04.tsv	assignment-nochim-R1D2_barcode20.tsv	assignment-nochim-R1D3_barcode36.tsv	assignment-nochim-R1D4_barcode52.tsv	assignment-nochim-R2A1_barcode01.tsv	assignment-nochim-R2A2_barcode17.tsv	assignment-nochim-R2A3_barcode33.tsv	assignment-nochim-R2A4_barcode49.tsv	assignment-nochim-R2B1_barcode02.tsv	assignment-nochim-R2B2_barcode18.tsv	assignment-nochim-R2B3_barcode34.tsv	assignment-nochim-R2B4_barcode50.tsv	assignment-nochim-R2C1_barcode03.tsv	assignment-nochim-R2C2_barcode19.tsv	assignment-nochim-R2C3_barcode35.tsv	assignment-nochim-R2C4_barcode51.tsv	assignment-nochim-R2D1_barcode04.tsv	assignment-nochim-R2D2_barcode20.tsv	assignment-nochim-R2D3_barcode36.tsv	assignment-nochim-R2D4_barcode52.tsv
4001	716	88	66056	33416	39685	38521	61374	55552	34344	52400	51961	49985	43033	69377	72498	62707	38000	43886	81244	12891	4159	5361	58715	20105	5593	7637	48513	22954	6184	12707	65551	23375	14839	10040	38427	74253	56130	74487	50304	49934	56781	89765	59019	97580	53059	48790	68547	48666	91177	91777	323	1876	40333	31772	22988	58875	65560	25280	68800	25913	61334	40215	25008	64565	71746	45151	61231	48928	23801	10496	7852	76176	52790	5880	12539	26052	24905	7430	8588	65896	27771	8165	12134	58931	76451	110048	45624	60629	63850	73955	117406	28600	101108	67582	91344	53693	76578	68438	81867
153571	692	114	62619	34731	41429	38816	62548	56275	34662	53349	52005	52311	45749	71658	75620	61741	40368	46467	79027	13521	4567	5692	60344	20596	5944	8457	49371	23736	6753	13839	69537	23795	16410	11174	37274	76312	58443	75769	51955	50291	58132	91034	59670	101930	55749	51049	71759	48172	96185	97099	374	2394	43900	33040	23975	54835	64687	25114	69714	27089	63311	40592	23887	60766	72503	47215	63408	52721	26013	11639	8847	73346	53259	6302	14127	27573	26712	8078	9003	64103	28573	8900	13425	62126	81983	114886	48311	57412	64181	75574	120528	30093	104271	69441	90308	52395	78021	72087	85379
4002	396	60	65991	39947	40155	38277	71354	62254	33430	46915	55967	57211	42588	75207	85627	68311	38512	46107	61377	10912	3324	3952	48326	16965	3941	5597	37684	17623	4190	9889	55057	18814	10874	7719	29797	65504	42799	57976	43277	42692	42301	65571	46894	79843	39422	38864	59556	39885	67925	72401	202	2199	48737	33078	23910	64149	74032	26633	73145	30418	66745	41843	25390	68997	79831	46229	61918	41433	19942	8023	5963	57968	42928	4425	10029	22067	19471	5783	6062	49065	21977	5671	8840	50662	65610	86387	35214	46958	53255	57084	90307	23776	83165	54599	67496	42043	63050	51795	61291
1224	1	0	1	1	1	4	6	8	1	4	2	20	2	2	4	5	0	1	9	3	2	0	1	0	0	1	5	1	4	0	4	2	1	1	2	4	1	12	1	1	3	5	1	6	2	4	7	3	1	4	0	0	5	1	3	1	3	1	2	2	6	5	1	4	4	2	2	2	0	1	0	4	4	1	0	1	0	1	2	5	0	0	1	7	2	3	1	3	4	6	6	2	3	2	12	3	1	3	4
1236	3	0	3	0	0	2	2	1	2	1	4	0	3	4	1	1	0	0	4	1	0	0	2	3	0	0	1	1	0	2	1	2	0	1	1	2	1	10	3	5	1	1	1	4	2	3	7	1	6	1	1	1	0	2	1	2	3	2	3	1	3	1	3	1	2	1	1	3	1	2	1	4	4	0	1	0	3	1	1	5	0	2	0	7	4	6	0	6	5	3	4	2	7	3	8	4	2	2	2
995085	550	95	9	3	9	1	7	2	3	3	3	3	5	5	2	3	1	5	21	20	5	6	12	13	5	0	10	11	2	3	10	1	3	3	64	11	8	39	22	7	3	16	18	5	6	39	11	2	13	12	175	1	1	1	2	7	1	0	1	0	4	13	1	4	11	0	2	13	8	2	1	29	7	4	2	7	6	16	2	16	42	13	4	5	3	2	5	28	3	4	22	15	8	4	10	25	10	7	10
40324	550	95	9	3	9	1	7	2	3	3	3	3	5	5	2	3	1	5	21	20	5	6	12	13	5	0	10	11	2	3	10	1	3	3	64	11	8	39	22	7	3	16	18	5	6	39	11	2	13	12	175	1	1	1	2	7	1	0	1	0	4	13	1	4	11	0	2	13	8	2	1	29	7	4	2	7	6	16	2	16	42	13	4	5	3	2	5	28	3	4	22	15	8	4	10	25	10	7	10
2892442	48	10	2	1	0	0	2	0	0	0	0	0	1	0	1	1	0	0	2	1	1	0	2	1	0	0	2	1	0	0	1	0	1	0	5	1	0	2	4	2	2	4	0	1	0	1	2	1	3	2	30	0	0	1	1	3	0	0	1	0	0	0	1	1	0	0	0	2	0	0	0	1	2	1	1	1	1	1	0	2	1	4	0	1	3	0	3	5	0	1	2	2	0	0	2	2	3	0	0
407	4	0	73	44	28	56	109	62	43	47	63	84	115	118	68	149	93	64	43	33	3	4	46	17	3	6	37	47	7	7	73	44	1	21	6	16	10	65	32	4	7	16	45	56	16	9	33	4	19	15	0	2	15	22	12	68	84	32	109	27	42	49	18	38	9	11	25	34	48	7	5	96	32	3	9	21	13	7	8	122	12	2	10	20	13	20	8	11	8	16	32	33	41	21	46	28	34	17	50
739141	2	0	36	16	10	13	43	36	29	24	32	21	57	42	62	80	44	23	26	21	2	4	21	13	5	5	21	23	3	9	41	23	1	6	0	2	3	15	24	2	2	6	32	45	14	11	24	9	8	16	1	1	11	16	5	37	23	19	43	11	12	22	12	22	6	5	19	16	17	4	2	44	6	1	9	9	8	6	2	47	8	2	4	12	4	9	2	1	7	4	19	15	25	7	52	14	17	8	34
