OTU	AUGPCR_barcode66	JunPCR_barcode66	L0A1_barcode13	L0A2_barcode29	L0A3_barcode45	L0A4_barcode61	L0B1_barcode14	L0B2_barcode30	L0B3_barcode46	L0B4_barcode62	L0C1_barcode15	L0C2_barcode31	L0C3_barcode47	L0C4_barcode63	L0D1_barcode16	L0D2_barcode32	L0D3_barcode48	L0D4_barcode64	L1A1_barcode13	L1A2_barcode29	L1A3_barcode45	L1A4_barcode61	L1B1_barcode14	L1B2_barcode30	L1B3_barcode46	L1B4_barcode62	L1C1_barcode15	L1C2_barcode31	L1C3_barcode47	L1C4_barcode63	L1D1_barcode16	L1D2_barcode32	L1D3_barcode48	L1D4_barcode64	L2A1_barcode13	L2A2_barcode29	L2A3_barcode45	L2A4_barcode61	L2B1_barcode14	L2B2_barcode30	L2B3_barcode46	L2B4_barcode62	L2C1_barcode15	L2C2_barcode31	L2C3_barcode47	L2C4_barcode63	L2D1_barcode16	L2D2_barcode32	L2D3_barcode48	L2D4_barcode64	OctPCR_barcode66	R0A1_barcode09	R0A2_barcode25	R0A3_barcode41	R0A4_barcode57	R0B1_barcode10	R0B2_barcode26	R0B3_barcode42	R0B4_barcode58	R0C1_barcode11	R0C2_barcode27	R0C3_barcode43	R0C4_barcode59	R0D1_barcode12	R0D2_barcode28	R0D3_barcode44	R0D4_barcode60	R1A1_barcode09	R1A2_barcode25	R1A3_barcode41	R1A4_barcode57	R1B1_barcode10	R1B2_barcode26	R1B3_barcode42	R1B4_barcode58	R1C1_barcode11	R1C2_barcode27	R1C3_barcode43	R1C4_barcode59	R1D1_barcode12	R1D2_barcode28	R1D3_barcode44	R1D4_barcode60	R2A1_barcode09	R2A2_barcode25	R2A3_barcode41	R2A4_barcode57	R2B1_barcode10	R2B2_barcode26	R2B3_barcode42	R2B4_barcode58	R2C1_barcode11	R2C2_barcode27	R2C3_barcode43	R2C4_barcode59	R2D1_barcode12	R2D2_barcode28	R2D3_barcode44	R2D4_barcode60
OTU1	0	0	0	0	0	2	1	0	0	6	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU2	0	0	0	0	0	5	0	0	0	0	0	0	2	1	5	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	2	0	0	1	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
OTU3	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
OTU4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
OTU7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU10	0	0	3	11	6	5	1	2	1	3	6	1	5	2	2	0	5	1	0	8	0	0	1	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	1	5	1	1	1	6	0	0	0	3	2	1	3	1	0	3	3	3	1	1	1	2	0	2	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0
OTU11	0	0	0	0	0	28	0	0	0	1	0	0	0	2	0	0	0	2	0	1	0	0	1	0	0	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	7	3	2	1	0	1	1	0	0	0	0	2	0	0	0	1	0	1	2	4	1	0	1	0	0	0	2	1	2	0	2	4	6	6	13	6	27	1	1	10	6	6	4	6	3	2
OTU12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
OTU13	0	0	2	2	1	3	0	0	0	0	2	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	2	1	0	1	0	1	0	0	0	1	0	1	0	2	0	0	6	1	0	0	4	0	1	0	0	4	1	1	1	7	3	1	11	6	30	0	2	12	6	12	8	11	8	1
OTU14	0	0	0	0	0	7	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	3	0	0	0	0	1	2	3	0	0	1	0	0	0	2	1	0	0	5	1	0	0	1	0	0	0	6	1	1	0	3	7	11	10	21	11	43	1	1	15	9	7	11	18	15	9
OTU15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU16	0	0	4	5	8	2	3	3	5	3	2	5	3	1	2	0	1	0	2	4	4	0	2	1	0	1	1	1	0	1	2	0	0	0	1	0	3	0	0	1	0	0	0	1	0	1	0	0	0	0	0	1	4	2	2	2	1	6	1	0	4	2	0	2	0	4	2	4	7	0	2	6	3	0	3	5	2	1	1	0	3	0	1	2	0	0	1	2	2	2	0	2	1	3	2	2	2	2	0
OTU17	8	19	11291	10431	11559	10363	8097	10103	6278	11123	9456	15791	11834	15227	10231	5144	7958	7084	5649	13974	1827	977	14570	5899	1157	1471	6947	10661	1578	7076	12057	7666	3340	1107	4709	9097	7452	3553	15286	13009	15692	13274	24575	8134	8414	9993	8209	18616	2063	5357	6	12216	12911	18059	9029	12720	12169	19747	13577	13930	37510	31548	48623	30699	33036	22638	11749	3903	16972	2512	1750	6368	8389	1487	2582	8480	10293	10152	3800	5100	5614	6175	5996	4328	10138	2442	4805	6542	5545	8118	4896	11957	11372	15629	14736	18751	12744	10531	17337
OTU18	0	0	2	1	14	5	2	4	6	6	4	7	2	1	2	3	4	2	5	3	0	0	1	1	0	0	1	1	0	1	1	1	0	0	0	1	1	3	0	0	0	2	4	1	1	1	2	1	0	0	0	4	1	6	3	0	1	1	0	5	7	3	4	5	2	5	0	3	8	3	0	12	9	1	1	7	14	4	2	4	4	3	1	16	24	7	15	30	33	62	3	4	34	26	21	22	58	25	10
OTU19	0	0	1	0	0	1	0	0	0	1	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	1	0	0	2	1	0	0	0	1	0
OTU20	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	5	0	0	0	20	0	0	0	1	1	0	0	9	1	0	0	0	2	0	0	0	3	0	2	0	0	2	0	0	1	0	3	0	19	55	3	18	8	0	1	4	0	0	1	0	0	0	0	0	0	0	0	0	5	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	1	1	0	0	0
OTU21	0	0	14	19	20	17	19	6	5	40	5	30	12	22	12	6	14	12	5	0	0	0	1	0	0	0	2	0	0	0	3	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	54	62	51	22	18	12	23	7	18	14	11	20	10	26	28	60	24	3	4	38	114	0	1	81	7	0	2	71	5	0	2	4	10	3	14	1	16	0	7	6	17	5	2	0	5	1	3
OTU22	0	0	16	14	24	8	2	1	6	5	1	1	5	3	7	2	1	4	111	293	2	0	175	214	0	0	149	29	20	1	420	231	36	0	443	920	406	6	297	269	535	242	161	20	112	79	118	363	67	167	0	22	43	20	51	25	3	102	37	23	18	21	5	18	14	36	25	29	50	52	7	384	11	0	12	134	10	6	1	4	37	7	2	11	0	1	3	0	0	3	3	3	1	0	2	18	0	3	2
OTU23	0	0	9	1	4	2	6	2	0	5	3	2	4	1	4	1	2	1	28	137	0	0	102	148	0	0	58	28	5	2	141	105	16	0	303	345	285	1	279	223	307	217	158	7	50	81	103	442	91	94	0	8	19	5	28	11	1	12	8	7	6	2	5	6	7	8	6	4	21	44	0	168	0	0	6	60	3	7	0	3	11	5	2	25	2	1	3	2	1	7	3	2	2	3	1	20	0	1	1
OTU24	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
OTU26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU27	0	0	14	4	13	13	5	2	2	21	3	19	13	15	2	2	8	20	5	0	0	0	0	0	0	0	1	2	0	0	1	1	0	0	0	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	7	28	34	21	9	17	14	18	4	10	9	3	9	6	20	7	42	13	4	2	20	67	1	4	40	5	0	0	33	3	0	1	2	4	2	15	1	16	0	5	3	9	4	2	0	5	1	0
OTU28	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
